Sample,Collection_Date,Location
03_25_24_ENCMAR20_R1__E0000000__X00__240401_NextSeq_WW__001,2024-03-20,Encina
03_25_24_PLMAR20_R2__E0000000__X00__240401_NextSeq_WW__001.sorted.bam,2024-03-20,Point Loma
03_25_24_PLMAR20_R2__E0000000__X00__240401_NextSeq_WW__001,2024-03-20,Point Loma
03_25_24_SBMAR24_R1__E0000000__X00__240401_NextSeq_WW__001.sorted.bam,2024-03-24,South Bay
03_25_24_SBMAR24_R1__E0000000__X00__240401_NextSeq_WW__001,2024-03-24,South Bay
04_02_24_PLMAR24_R2__E0000000__X00__240409_NextSeq_WW__001.sorted.bam,2024-03-24,Point Loma
04_02_24_PLMAR24_R2__E0000000__X00__240409_NextSeq_WW__001,2024-03-24,Point Loma
04_02_24_PLMAR25_R1__E0000000__X00__240409_NextSeq_WW__001,2024-03-25,Point Loma
04_02_24_PLMAR25_R1__E0000000__X00__240409_NextSeq_WW__001.sorted.bam,2024-03-25,Point Loma
04_02_24_PLMAR26_R2__E0000000__X00__240409_NextSeq_WW__001,2024-03-26,Point Loma
04_02_24_PLMAR26_R2__E0000000__X00__240409_NextSeq_WW__001.sorted.bam,2024-03-26,Point Loma
04_01_24_ENCMAR27_R1__E0000000__X00__240409_NextSeq_WW__001.sorted.bam,2024-03-27,Encina
04_02_24_PLMAR27_R1__E0000000__X00__240409_NextSeq_WW__001.sorted.bam,2024-03-27,Point Loma
04_02_24_PLMAR27_R1__E0000000__X00__240409_NextSeq_WW__001,2024-03-27,Point Loma
04_01_24_ENCMAR27_R1__E0000000__X00__240409_NextSeq_WW__001,2024-03-27,Encina
04_02_24_SBMAR28_R1__E0000000__X00__240409_NextSeq_WW__001,2024-03-28,South Bay
04_02_24_SBMAR28_R1__E0000000__X00__240409_NextSeq_WW__001.sorted.bam,2024-03-28,South Bay
04_01_24_ENCMAR29_R2__E0000000__X00__240409_NextSeq_WW__001.sorted.bam,2024-03-29,Encina
04_01_24_ENCMAR29_R2__E0000000__X00__240409_NextSeq_WW__001,2024-03-29,Encina
04_08_24_PLMAR31_R2__E0000000__X00__240415_NextSeq_WW__001,2024-03-31,Point Loma
04_08_24_PLMAR31_R2__E0000000__X00__240415_NextSeq_WW__001.sorted.bam,2024-03-31,Point Loma
04_02_24_SBMAR31_R1__E0000000__X00__240409_NextSeq_WW__001.sorted.bam,2024-03-31,South Bay
04_02_24_SBMAR31_R1__E0000000__X00__240409_NextSeq_WW__001,2024-03-31,South Bay
04_08_24_PLAPR01_R2__E0000000__X00__240415_NextSeq_WW__001.sorted.bam,2024-04-01,Point Loma
04_08_24_PLAPR01_R2__E0000000__X00__240415_NextSeq_WW__001,2024-04-01,Point Loma
04_08_24_SBAPR02_R1__E0000000__X00__240415_NextSeq_WW__001.sorted.bam,2024-04-02,South Bay
